No;Province;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Month;Disaster
11; Aceh;3;;;;7014;160;;;;;;;;;;2019;101;1;Flood
12; Sumatera Utara;1;;;;2852;110;;;;;;;;;;2019;101;1;Flood
13; Sumatera Barat;2;;;;1858;;;1;;1;;;4;;;2019;101;1;Flood
16; Sumatera Selatan;3;;;;245;;;;;;;;;;;2019;101;1;Flood
18; Lampung;1;;;;;;;;;;;;;;;2019;101;1;Flood
32; Jawa Barat;16;;;;3186;478;56;3;;;;;4;;1;2019;101;1;Flood
33; Jawa Tengah;31;1;;5;38981;5279;4;4;;;;;3;;;2019;101;1;Flood
34; Yogyakarta;2;;;1;;;2;;;;;;;;;2019;101;1;Flood
35; Jawa Timur;12;1;;1;3154;;16;1;1;;;;4;;3;2019;101;1;Flood
36; Banten;2;;;;1932;266;149;1;;;;;;;;2019;101;1;Flood
52; Nusa Tenggara Barat;4;;;;158;;;;;;;;;;;2019;101;1;Flood
61; Kalimantan Barat;2;;;;2192;;8;;;;;;2;;;2019;101;1;Flood
62; Kalimantan Tengah;1;;;;575;;;;;;;;;;;2019;101;1;Flood
63; Kalimantan Selatan;4;;;;2877;;;;;;;;;;;2019;101;1;Flood
71; Sulawesi Utara;2;;;;3918;297;1;;;;;;;;;2019;101;1;Flood
73; Sulawesi Selatan;12;82;3;47;209128;6757;1242;51;;12;;8;57;;;2019;101;1;Flood
75; Gorontalo;1;;;;5780;;5;2;;1;;1;;;;2019;101;1;Flood
82; Maluku Utara;1;;;;;355;;;;;;;4;;;2019;101;1;Flood
91; Papua Barat;2;;;;301;;1;;;;;;;;;2019;101;1;Flood
94; Papua;2;;6;22;;655;;;;1;;;1;;;2019;101;1;Flood
11; Aceh;2;;;;;3;1;1;;;;;;;;2019;102;1;Land_Slide
12; Sumatera Utara;1;;;;;;;;;;;;;;;2019;102;1;Land_Slide
13; Sumatera Barat;2;;;;;;2;;;;;;;;;2019;102;1;Land_Slide
32; Jawa Barat;18;1;;3;151;6;19;1;;;;;;;;2019;102;1;Land_Slide
33; Jawa Tengah;61;1;;7;137;7;178;3;1;1;;1;3;;2;2019;102;1;Land_Slide
35; Jawa Timur;10;;;;;5;8;;;;;;1;;;2019;102;1;Land_Slide
36; Banten;1;;;;499;;63;;;3;;;;;;2019;102;1;Land_Slide
51; Bali;3;6;;12;;;3;;;5;;;;;;2019;102;1;Land_Slide
61; Kalimantan Barat;1;3;;;;;11;;;;;;;;;2019;102;1;Land_Slide
63; Kalimantan Selatan;1;1;;7;;;;;;;;;;;;2019;102;1;Land_Slide
73; Sulawesi Selatan;2;;;;;9;2;;;;;;;;;2019;102;1;Land_Slide
74; Sulawesi Tenggara;1;;;;;15;1;;;;;;;;;2019;102;1;Land_Slide
81; Maluku;1;;;;9;;1;;;;;;;;;2019;102;1;Land_Slide
51; Bali;1;;;4;;;1;;;1;;;;;;2019;104;1;Abration
73; Sulawesi Selatan;1;;;;;;3;;;;;;;;;2019;104;1;Abration
11; Aceh;5;;;8;19;;5;;;;;;;;5;2019;105;1;Tornado
12; Sumatera Utara;1;;;;;;1;;;;;;;;;2019;105;1;Tornado
13; Sumatera Barat;1;;;;;;1;;;;;;;;;2019;105;1;Tornado
16; Sumatera Selatan;3;;;;225;;71;2;;3;;;;;1;2019;105;1;Tornado
18; Lampung;3;;;;;;213;;;;;;;;;2019;105;1;Tornado
31; Jakarta;1;;;;68;;;;;;;;;;;2019;105;1;Tornado
32; Jawa Barat;32;;;17;2574;413;1157;1;1;1;;2;;;9;2019;105;1;Tornado
33; Jawa Tengah;85;1;0;24;418;5;915;4;0;1;0;0;0;0;7;2019;105;1;Tornado
34; Yogyakarta;4;;;;60;;10;;;;;;;;;2019;105;1;Tornado
35; Jawa Timur;49;1;;2;785;;511;9;3;17;;1;;;5;2019;105;1;Tornado
36; Banten;3;;;;6;6;3;;;;;;;;;2019;105;1;Tornado
51; Bali;4;;;;;;13;;;;;;;;;2019;105;1;Tornado
52; Nusa Tenggara Barat;8;;;;127;;63;5;;;;;;;;2019;105;1;Tornado
53; Nusa Tenggara Timur;1;;;;;15;11;;;;;;;;;2019;105;1;Tornado
61; Kalimantan Barat;1;;;;48;;10;1;;;;;;;2;2019;105;1;Tornado
62; Kalimantan Tengah;4;;;;;;43;;;;;;;;;2019;105;1;Tornado
63; Kalimantan Selatan;10;;;;286;22;99;;;;;1;;;;2019;105;1;Tornado
73; Sulawesi Selatan;22;0;0;0;336;23;296;2;0;1;0;0;0;0;4;2019;105;1;Tornado
74; Sulawesi Tenggara;1;;;;;;75;;;;;;;;;2019;105;1;Tornado
76; Sulawesi Barat;1;;;;;;5;;;;;;;;;2019;105;1;Tornado
81; Maluku;4;;;;76;3;20;;;;;;;;;2019;105;1;Tornado
63; Kalimantan Selatan;1;;;;3820;;;;;;;;;;;2019;106;1;Drought
11; Aceh;2;;;;;;;;;;;;;;;2019;107;1;Forest Fire
14; Riau;2;;;;;;;;;;;;;;;2019;107;1;Forest Fire
16; Sumatera Selatan;5;1;;;;;;;;;;;;;;2019;107;1;Forest Fire
64; Kalimantan Timur;1;;;;;;;;;;;;;;;2019;107;1;Forest Fire
32; Jawa Barat;1;;;;5;;1;;;;;;;;;2019;108;1;Earthquake
53; Nusa Tenggara Timur;1;;;;;;;1;;;;;;;;2019;108;1;Earthquake
81; Maluku;1;;;1;;;3;;1;;;;;;;2019;108;1;Earthquake
34; Yogyakarta;1;;;;;;;;;;;;;;;2019;111;1;Volcano Eruption
11; Aceh;4;;;;924;;;2;;1;;;;;;2019;101;2;Flood
12; Sumatera Utara;1;;;;3735;;;;;;;;;;;2019;101;2;Flood
13; Sumatera Barat;1;;2;;2302;;;;;;;;1;;;2019;101;2;Flood
14; Riau;1;;;;1590;55;112;;;;;;;;;2019;101;2;Flood
15; Jambi;4;;;;4500;;;;;;;;;;;2019;101;2;Flood
16; Sumatera Selatan;12;2;;1;18594;20;1;1;1;;;;6;;;2019;101;2;Flood
17; Bengkulu;1;1;;;;;;;;;;;;;;2019;101;2;Flood
18; Lampung;5;1;;;10157;;2;4;;;;;33;;;2019;101;2;Flood
19; Bangka Belitung;6;;;1;547;;116;1;;1;;;1;;;2019;101;2;Flood
32; Jawa Barat;21;3;;;71436;1002;76;8;;38;;;1;;;2019;101;2;Flood
33; Jawa Tengah;20;0;0;2;50;0;16;0;0;0;0;0;3;0;0;2019;101;2;Flood
35; Jawa Timur;13;1;;;13950;;2;;;;;;;;;2019;101;2;Flood
