No;City;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Disaster
1; Simeulue;9;;;;7484;;207;6;;3;;2;1;;;2019;101;Flood
2; Aceh Singkil;4;;;;23601;;3;;;1;;1;4;;;2019;101;Flood
3; Aceh Selatan;9;;;;13324;50;60;2;;1;;;;;;2019;101;Flood
4; Aceh Tenggara;7;;;;9181;160;8;;;;;;;;;2019;101;Flood
5; Aceh Timur;6;;;;1275;133;;;;;;;;;;2019;101;Flood
7; Aceh Barat;2;;;;1847;;;;;;;;;;;2019;101;Flood
9; Pidie;3;;;;118;90;12;;;;;;1;;;2019;101;Flood
10; Bireuen;1;;;;;5;;;;;;;1;;;2019;101;Flood
11; Aceh Utara;2;;;;3191;83;;;;;;;;;;2019;101;Flood
12; Aceh Barat Daya;4;;;;275;;;;;;;;2;;;2019;101;Flood
13; Gayo Lues;2;;;;;145;3;;;;;;2;;;2019;101;Flood
15; Nagan Raya;1;;;;352;;;;;;;;;;;2019;101;Flood
16; Aceh Jaya;7;;;;4326;28;;;;;;;;;;2019;101;Flood
18; Pidie Jaya;1;;;;;;;;;;;;;;;2019;101;Flood
72; Kota Sabang;1;;;;;;1;;;;;;;;;2019;101;Flood
73; Kota Langsa;2;;;;2055;;;;;;;;;;;2019;101;Flood
74; Kota Lhokseumawe;1;;;;;;;;;;;;;;;2019;101;Flood
75; Kota Subulussalam;3;;;;3347;;;;;;;;;;;2019;101;Flood
6; Aceh Tengah;2;;;5;;;1;1;;;;;;;;2019;102;Land_Slide
7; Aceh Barat;1;;;;360;;;;;;;;;;;2019;102;Land_Slide
13; Gayo Lues;3;;;;;3;4;;;;;;1;;;2019;102;Land_Slide
72; Kota Sabang;1;;;;;;2;;;;;;;;;2019;102;Land_Slide
74; Kota Lhokseumawe;1;;;;;5;1;;;;;;;;;2019;102;Land_Slide
12; Aceh Barat Daya;1;;;;85;;18;;;;;;;;;2019;104;Abration
2; Aceh Singkil;4;;;;76;;18;;;;;1;;;;2019;105;Tornado
3; Aceh Selatan;4;;;;;;12;1;;;;;1;;;2019;105;Tornado
4; Aceh Tenggara;2;;;;25;;8;;;1;;;;;;2019;105;Tornado
5; Aceh Timur;2;;;;95;10;20;1;;1;;;;;;2019;105;Tornado
6; Aceh Tengah;4;;;;;5;8;;;;;;;;;2019;105;Tornado
7; Aceh Barat;5;;;;173;14;58;;;;;2;;;;2019;105;Tornado
8; Aceh Besar;3;;;;31;5;7;;;;;;;;1;2019;105;Tornado
9; Pidie;1;;;;15;;6;;;;;;;;;2019;105;Tornado
